y,x
0.00030013336057506656, 2.448046320967087
0.0003374339071562246, 3.3588843985904853
0.0004644644781979605, 3.4839146029525705
0.00046472143615333456, 4.152016544496531
0.0006397768925957238, 4.539301104000909
0.0006306949727825477, 4.868966620949083
0.0008196460113485968, 6.123569858584486
0.0008679827488370868, 4.791282398479393
0.00119487622055504, 5.1470990730501915
0.0011781098780845657, 5.819260591330456
0.0016230574879455217, 7.991839777648775
0.00192971252210743, 5.533378154066575
0.0025780158117520214, 4.410804262963459
0.003307378183490591, 9.225977823347232
0.0031653661498933813, 8.302540249082304
0.004897405985903002, 11.014942387795854
0.006367093222495907, 15.663334093705009
0.012600406639811115, 16.854488282063066
0.010291892137666884, 22.295568651222165
0.013188308141568591, 32.263454663200704
0.015926980933515925, 31.729733436759037
0.021953195539226696, 51.02908759505557
0.03397128382570979, 71.35863201396478
0.034941227781540324, 53.9011020883136
0.056532803057673685, 103.38503127717642
0.0683025714505103, 116.9947781171684
0.10725772710767463, 172.45726209734775
0.1353495722607284, 191.80398075248792
0.29255815431201726, 293.25475941779035
0.4206450622810431, 309.6158198032347
0.8087171732690653, 345.01276976154713
1.0970013166960875, 345.49397223955845
1.7449514338803438, 300.8912683159515
2.6590836298330625, 323.3866683704204
3.2089585710416326, 253.1795483818608
3.930262751085139, 216.40123787566594
5.38913396326583, 210.1614897554977
8.082688924993906, 145.02842028979376
